Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,1,23,2,1638,1630,1751,1723,US,29,NA,73,53,NA,28,8,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1629,1630,1717,1723,US,29,NA,48,53,NA,-6,-1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1717,1630,1820,1723,US,29,NA,63,53,NA,57,47,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1631,1630,1717,1723,US,29,NA,46,53,NA,-6,1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1636,1630,1723,1723,US,29,NA,47,53,NA,0,6,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,1621,1630,1714,1723,US,29,NA,53,53,NA,-9,-9,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,1702,1630,1744,1723,US,29,NA,42,53,NA,21,32,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,1628,1630,1717,1723,US,29,NA,49,53,NA,-6,-2,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,1650,1630,1737,1723,US,29,NA,47,53,NA,14,20,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,1820,1800,1941,1934,US,29,NA,261,274,NA,7,20,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,1859,1800,2019,1934,US,29,NA,260,274,NA,45,59,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,1853,1800,2020,1934,US,29,NA,267,274,NA,46,53,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1844,1805,2002,1939,US,29,NA,258,274,NA,23,39,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1808,1805,1926,1939,US,29,NA,258,274,NA,-13,3,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1810,1805,1910,1939,US,29,NA,240,274,NA,-29,5,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,1822,1805,1927,1939,US,29,NA,245,274,NA,-12,17,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1816,1805,1936,1939,US,29,NA,260,274,NA,-3,11,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1911,1805,2014,1939,US,29,NA,243,274,NA,35,66,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1807,1805,1926,1939,US,29,NA,259,274,NA,-13,2,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,1917,1805,2045,1939,US,29,NA,268,274,NA,66,72,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,1823,1805,1944,1939,US,29,NA,261,274,NA,5,18,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,1808,1805,1952,1939,US,29,NA,284,274,NA,13,3,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,1821,1805,2013,1939,US,29,NA,292,274,NA,34,16,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,1809,1805,1945,1939,US,29,NA,276,274,NA,6,4,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,1812,1805,2001,1939,US,29,NA,289,274,NA,22,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,2123,1805,2310,1939,US,29,NA,287,274,NA,211,198,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,1819,1805,1944,1939,US,29,NA,265,274,NA,5,14,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,1830,1805,1938,1939,US,29,NA,248,274,NA,-1,25,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,1834,1805,1953,1939,US,29,NA,259,274,NA,14,29,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,1807,1805,1914,1939,US,29,NA,247,274,NA,-25,2,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,1805,1805,1955,1939,US,29,NA,290,274,NA,16,0,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,1823,1805,2008,1939,US,29,NA,285,274,NA,29,18,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1806,1805,1921,1939,US,29,NA,255,274,NA,-18,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1906,1805,2025,1939,US,29,NA,259,274,NA,46,61,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1812,1805,1946,1939,US,29,NA,274,274,NA,7,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1806,1805,1948,1939,US,29,NA,282,274,NA,9,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,1806,1805,1936,1939,US,29,NA,270,274,NA,-3,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,1812,1805,1932,1939,US,29,NA,260,274,NA,-7,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,1812,1805,1945,1939,US,29,NA,273,274,NA,6,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,1824,1805,1949,1939,US,29,NA,265,274,NA,10,19,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,2020,2005,2056,2044,US,29,NA,36,39,NA,12,15,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,2103,2005,2147,2044,US,29,NA,44,39,NA,63,58,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,2055,2005,2134,2044,US,29,NA,39,39,NA,50,50,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,2038,2015,2101,2054,US,29,NA,23,39,NA,7,23,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,2018,2015,2058,2054,US,29,NA,40,39,NA,4,3,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,2019,2015,2054,2054,US,29,NA,35,39,NA,0,4,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,2014,2015,2051,2054,US,29,NA,37,39,NA,-3,-1,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,2015,2015,2055,2054,US,29,NA,40,39,NA,1,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,2047,2015,2124,2054,US,29,NA,37,39,NA,30,32,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,2015,2015,2116,2054,US,29,NA,61,39,NA,22,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,2119,2015,2200,2054,US,29,NA,41,39,NA,66,64,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,2017,2015,2054,2054,US,29,NA,37,39,NA,0,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,2024,2015,2105,2054,US,29,NA,41,39,NA,11,9,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,2039,2015,2113,2054,US,29,NA,34,39,NA,19,24,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,2024,2015,2105,2054,US,29,NA,41,39,NA,11,9,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,2029,2015,2113,2054,US,29,NA,44,39,NA,19,14,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,2335,2015,7,2054,US,29,NA,32,39,NA,193,200,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,2013,2015,2052,2054,US,29,NA,39,39,NA,-2,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,2015,2015,2054,2054,US,29,NA,39,39,NA,0,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,2025,2015,2102,2054,US,29,NA,37,39,NA,8,10,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,2017,2015,2054,2054,US,29,NA,37,39,NA,0,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,2013,2015,2050,2054,US,29,NA,37,39,NA,-4,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,2033,2015,2113,2054,US,29,NA,40,39,NA,19,18,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,2013,2015,2052,2054,US,29,NA,39,39,NA,-2,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,2057,2015,2139,2054,US,29,NA,42,39,NA,45,42,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,2017,2015,2052,2054,US,29,NA,35,39,NA,-2,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,2016,2015,2100,2054,US,29,NA,44,39,NA,6,1,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,2015,2015,2051,2054,US,29,NA,36,39,NA,-3,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,2015,2015,2053,2054,US,29,NA,38,39,NA,-1,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,2020,2015,2100,2054,US,29,NA,40,39,NA,6,5,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,2015,2015,2057,2054,US,29,NA,42,39,NA,3,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,1507,1430,1618,1554,US,29,NA,71,84,NA,24,37,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,1518,1430,1651,1554,US,29,NA,93,84,NA,57,48,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,1508,1430,1631,1554,US,29,NA,83,84,NA,37,38,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1528,1430,1651,1554,US,29,NA,83,84,NA,57,58,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1429,1430,1556,1554,US,29,NA,87,84,NA,2,-1,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1447,1430,1602,1554,US,29,NA,75,84,NA,8,17,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,1440,1430,1609,1554,US,29,NA,89,84,NA,15,10,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1446,1430,1603,1554,US,29,NA,77,84,NA,9,16,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1548,1430,1711,1554,US,29,NA,83,84,NA,77,78,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1430,1430,1543,1554,US,29,NA,73,84,NA,-11,0,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,1445,1430,1600,1554,US,29,NA,75,84,NA,6,15,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,1430,1430,1547,1554,US,29,NA,77,84,NA,-7,0,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,1458,1430,1611,1554,US,29,NA,73,84,NA,17,28,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,1433,1430,1548,1554,US,29,NA,75,84,NA,-6,3,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,1429,1430,1551,1554,US,29,NA,82,84,NA,-3,-1,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,1859,1430,NA,1554,US,29,NA,NA,84,NA,NA,269,PHL,CMH,405,NA,NA,0,NA,1,NA,NA,NA,NA,NA
1990,1,18,4,1428,1430,1558,1554,US,29,NA,90,84,NA,4,-2,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,1455,1430,1615,1554,US,29,NA,80,84,NA,21,25,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,1527,1430,1659,1554,US,29,NA,92,84,NA,65,57,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,1445,1430,1608,1554,US,29,NA,83,84,NA,14,15,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,1430,1430,1551,1554,US,29,NA,81,84,NA,-3,0,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,1439,1430,1614,1554,US,29,NA,95,84,NA,20,9,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1431,1430,1552,1554,US,29,NA,81,84,NA,-2,1,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1524,1430,1649,1554,US,29,NA,85,84,NA,55,54,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1446,1430,1558,1554,US,29,NA,72,84,NA,4,16,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1455,1430,1612,1554,US,29,NA,77,84,NA,18,25,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,1426,1430,1553,1554,US,29,NA,87,84,NA,-1,-4,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,1448,1430,1614,1554,US,29,NA,86,84,NA,20,18,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,1433,1430,1551,1554,US,29,NA,78,84,NA,-3,3,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,1509,1430,1623,1554,US,29,NA,74,84,NA,29,39,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,2241,2155,1,2322,US,30,NA,80,87,NA,39,46,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,2211,2155,2330,2322,US,30,NA,79,87,NA,8,16,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,2208,2155,2333,2322,US,30,NA,85,87,NA,11,13,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,31,2130,139,2257,US,30,NA,68,87,NA,162,181,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,2228,2130,2337,2257,US,30,NA,69,87,NA,40,58,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,2147,2130,2308,2257,US,30,NA,81,87,NA,11,17,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,2203,2130,2322,2257,US,30,NA,79,87,NA,25,33,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,2141,2130,2307,2257,US,30,NA,86,87,NA,10,11,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,2146,2130,2313,2257,US,30,NA,87,87,NA,16,16,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,2140,2130,2254,2257,US,30,NA,74,87,NA,-3,10,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,2135,2130,2252,2257,US,30,NA,77,87,NA,-5,5,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,2237,2130,2357,2257,US,30,NA,80,87,NA,60,67,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,2311,2130,28,2257,US,30,NA,77,87,NA,91,101,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,2218,2130,2335,2257,US,30,NA,77,87,NA,38,48,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,2130,2130,2255,2257,US,30,NA,85,87,NA,-2,0,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,2143,2130,2259,2257,US,30,NA,76,87,NA,2,13,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,2136,2130,2251,2257,US,30,NA,75,87,NA,-6,6,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,2140,2130,2256,2257,US,30,NA,76,87,NA,-1,10,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,2141,2130,2251,2257,US,30,NA,70,87,NA,-6,11,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,2200,2130,2321,2257,US,30,NA,81,87,NA,24,30,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,2143,2130,2315,2257,US,30,NA,92,87,NA,18,13,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,2130,2130,2250,2257,US,30,NA,80,87,NA,-7,0,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,2136,2130,2256,2257,US,30,NA,80,87,NA,-1,6,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,2150,2130,2330,2257,US,30,NA,100,87,NA,33,20,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,2146,2130,2313,2257,US,30,NA,87,87,NA,16,16,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,2130,2130,2247,2257,US,30,NA,77,87,NA,-10,0,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,2130,2130,2244,2257,US,30,NA,74,87,NA,-13,0,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,2256,2130,57,2257,US,30,NA,121,87,NA,120,86,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,2142,2130,2302,2257,US,30,NA,80,87,NA,5,12,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,2140,2130,2301,2257,US,30,NA,81,87,NA,4,10,PIT,BOS,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,1347,1320,2116,2046,US,30,NA,269,266,NA,30,27,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,1328,1320,2103,2046,US,30,NA,275,266,NA,17,8,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,1347,1320,2123,2046,US,30,NA,276,266,NA,37,27,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1324,1320,2133,2046,US,30,NA,309,266,NA,47,4,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1407,1320,2142,2046,US,30,NA,275,266,NA,56,47,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1326,1320,2104,2046,US,30,NA,278,266,NA,18,6,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,1323,1320,2117,2046,US,30,NA,294,266,NA,31,3,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1319,1320,2051,2046,US,30,NA,272,266,NA,5,-1,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1315,1320,2034,2046,US,30,NA,259,266,NA,-12,-5,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1321,1320,2034,2046,US,30,NA,253,266,NA,-12,1,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,1325,1320,2037,2046,US,30,NA,252,266,NA,-9,5,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,1403,1320,2146,2046,US,30,NA,283,266,NA,60,43,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,1515,1320,2230,2046,US,30,NA,255,266,NA,104,115,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,1510,1320,2217,2046,US,30,NA,247,266,NA,91,110,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,1318,1320,2041,2046,US,30,NA,263,266,NA,-5,-2,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,1323,1320,2048,2046,US,30,NA,265,266,NA,2,3,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,1317,1320,2049,2046,US,30,NA,272,266,NA,3,-3,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,1321,1320,2105,2046,US,30,NA,284,266,NA,19,1,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,1315,1320,2106,2046,US,30,NA,291,266,NA,20,-5,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,1332,1320,2109,2046,US,30,NA,277,266,NA,23,12,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,1326,1320,2054,2046,US,30,NA,268,266,NA,8,6,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,1325,1320,2040,2046,US,30,NA,255,266,NA,-6,5,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1316,1320,2053,2046,US,30,NA,277,266,NA,7,-4,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1327,1320,2053,2046,US,30,NA,266,266,NA,7,7,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1350,1320,2111,2046,US,30,NA,261,266,NA,25,30,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1314,1320,2028,2046,US,30,NA,254,266,NA,-18,-6,SFO,PIT,2254,NA,NA,0,NA,0,NA,NA,NA,NA,NA
